id,created_at,aluno_id,data,presente
2626,2025-07-25 13:33:33.963431+00,175,2025-07-25,false
2627,2025-07-25 13:33:33.963431+00,176,2025-07-25,false
2628,2025-07-25 13:33:33.963431+00,177,2025-07-25,false
2629,2025-07-25 13:33:33.963431+00,178,2025-07-25,false
2630,2025-07-25 13:33:33.963431+00,194,2025-07-25,false
2631,2025-07-25 13:33:33.963431+00,195,2025-07-25,false
2632,2025-07-25 13:33:33.963431+00,196,2025-07-25,true
2633,2025-07-25 13:33:33.963431+00,197,2025-07-25,false
2634,2025-07-25 13:33:33.963431+00,198,2025-07-25,false
2635,2025-07-25 13:33:33.963431+00,200,2025-07-25,true
2636,2025-07-25 13:33:33.963431+00,202,2025-07-25,true
2637,2025-07-25 13:33:33.963431+00,199,2025-07-25,true
2638,2025-07-25 13:33:33.963431+00,201,2025-07-25,true
2639,2025-07-25 13:33:33.963431+00,203,2025-07-25,false
2640,2025-07-25 13:33:33.963431+00,235,2025-07-25,false
2641,2025-07-25 13:33:33.963431+00,234,2025-07-25,false
2642,2025-07-25 13:33:33.963431+00,236,2025-07-25,false
2643,2025-07-25 13:33:33.963431+00,204,2025-07-25,false
2644,2025-07-25 13:33:33.963431+00,205,2025-07-25,false
4087,2025-07-28 13:13:14.235104+00,57,2025-07-28,false
4088,2025-07-28 13:13:14.235104+00,58,2025-07-28,true
4089,2025-07-28 13:13:14.235104+00,42,2025-07-28,false
4090,2025-07-28 13:13:14.235104+00,59,2025-07-28,true
4091,2025-07-28 13:13:14.235104+00,60,2025-07-28,true
4092,2025-07-28 13:13:14.235104+00,6,2025-07-28,false
4093,2025-07-28 13:13:14.235104+00,23,2025-07-28,false
4094,2025-07-28 13:13:14.235104+00,24,2025-07-28,false
4095,2025-07-28 13:13:14.235104+00,25,2025-07-28,true
4096,2025-07-28 13:13:14.235104+00,26,2025-07-28,true
4097,2025-07-28 13:13:14.235104+00,27,2025-07-28,true
4098,2025-07-28 13:13:14.235104+00,28,2025-07-28,true
4099,2025-07-28 13:13:14.235104+00,29,2025-07-28,true
4100,2025-07-28 13:13:14.235104+00,30,2025-07-28,false
4101,2025-07-28 13:13:14.235104+00,208,2025-07-28,false
4102,2025-07-28 13:13:14.235104+00,2,2025-07-28,false
4103,2025-07-28 13:13:14.235104+00,56,2025-07-28,false
4104,2025-07-28 13:13:14.235104+00,62,2025-07-28,false
